"$hubspotcampaignalltype.hubCampaignType","$hubspotcampaignalltype.hubCampaignType1","$hubspotcampaignalltype.hubChannelType","$hubspotcampaignalltype.hubSenderID","$hubspotcampaignalltype.hubCrmName","$hubspotcampaignalltype.hubModuleName","$hubspotcampaignalltype.hubListName","$hubspotcampaignalltype.hubListPhoneField","$hubspotcampaignalltype.hubTemplateName","$hubspotcampaignalltype.hubMergeField","$hubspotrecurringcampaign.hubspotCampaignDate","$hubspotrecurringcampaign.hubspotCampaignTime","$hubspotrecurringcampaign.hubspotRecurringFreqency","$hubspotrecurringcampaign.hubspotCampaignEndDate","$hubspotrecurringcampaign.hubspotCampaignDay","$hubspotslowpace.hubspotSpBatch","$hubspotslowpace.hubspotSpDelay","$hubspotslowpace.hubspotSpTime","$hubspotslowpace.hubspotSpDate","$hubspotslowpace.hubspotSpScheduleTime","$contactlimitations.licenseName","$contactlimitations.licenseLimit","$contactlimitations.errorMessageSource","$contactlimitations.detailsError","$contactlimitations.selectList","$contactlimitations.selectList2"
"Broadcast","","SMS/MMS","1313131313","","","Company list","Phone Number","Company Template","","25 Aug 2024","18:00","","","","","","","","","","","","","",""
"Broadcast","","SMS/MMS","728349283558","","","Company list","Phone Number","Company Template","","","","","","","","","","","","","","","","",""
"Recurring Campaign","","SMS/MMS","728349283558","","","Contact List 1","Phone Number","Contacts Template","","16 Jul 2024","18:00","Daily","19 Jul 2025","1st","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Recurring Campaign","","SMS/MMS","728349283558","","","Contact List 1","Phone Number","Contacts Template","","25 May 2024","18:00","Monthly","19 Jul 2025","3rd","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Slow Pace Campaign","","SMS/MMS","728349283558","","","Company list","Phone Number","Company Template","","","","","","","50","30","Minutes","12 May 2024","15:00","","","","","",""
"Slow Pace Campaign","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","","","","","","50","15","Minutes","12 May 2024","15:00","","","","","",""
"Slow Pace Campaign","","SMS/MMS","18334296192","","","Company list","Phone Number","Company Template","","","","","","","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Recurring Campaign","","SMS/MMS","18334296192","","","Contact List 1","Phone Number","Contacts Temp Merge Fields 1","","25 May 2024","10:00","Monthly","19 Jul 2025","1st","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Broadcast","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","16 Jul 2024","01:00","Daily","","","","","","","","","","","","",""
"Recurring Campaign","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","16 Jul 2024","10:00","Daily","19 Jul 2025","1st","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Recurring Campaign","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","16 Jul 2024","10:00","Weekly","19 Jul 2025","1st","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Recurring Campaign","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","16 Jul 2024","10:00","Monthly","19 Jul 2025","1st","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Recurring Campaign","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","16 Jul 2024","10:00","Yearly","19 Jul 2025","1st","100","30","Minutes","12 May 2024","15:00","","","","","",""
"Slow Pace Campaign","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","contacts temp 123","","16 Jul 2024","","","","","50","15","Minutes","12 May 2024","15:00","","","","","",""
"Broadcast","","SMS/MMS","1313131313","","","List 1 : Contacts","Phone Number","testing101","","16 Jul 2024","","","","","","","","","","","","","","",""
"Broadcast","","WhatsApp","14155238886","","","List 1 : Contacts","Phone Number","Whatsapp MTM contacts grp wfv","","16 Jul 2024","","","","","","","","","01:00","","","","","",""
"Slow Pace Campaign","","WhatsApp","14155238886","Zoho","Contacts","List 1 : Contacts","Phone Number","Whatsapp MTM contacts grp wfv","","16 Jul 2024","","","","","50","15","Minutes","29 Jul 2024","15:00","","","","","",""
"Recurring Campaign","","WhatsApp","14155238886","Zoho","Contacts","List 1 : Contacts","Phone Number","Whatsapp MTM contacts grp wfv","","16 Jul 2024","10:00","Daily","17 Jul 2025","1st","50","30","Minutes","29 Jul 2024","15:00","","","","","",""
"Broadcast","","SMS/MMS","1313131313","Zoho","Leads","70 Contacts List","Phone","contacts temp 123","","16 Jul 2024","01:00","Daily","","","","","","","","","","","","",""
"Broadcast","","SMS/MMS","1313131313","Zoho","Leads","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Free Trial","","","","Contacts - 16000","Contacts - 16000"
"Broadcast","","SMS/MMS","1313131313","Zoho","Contacts","AkashTushar","Phone","Zoho Camp Contacts 2","","25 Sep 2024","21:00","","","","","","","","","Professionals Basic","2000","You cant't send campaigns to more than 2000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 900"
"Broadcast","","SMS/MMS","1313131313","","","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Professionals Superior","2000","You cant't send campaigns to more than 2000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 900"
