"$segmentui.field","$segmentui.operator","$segmentui.value","$segmentui.count"
"Mobile Number","Equal to","23141500258223","1"
"Mobile Number","Contains","231","2"
"Mobile Number","Starts with","63","26"
"Mobile Number","Ends with","89","2"
"Mobile Number","Is exist","","50"
"First Name","Equal to","Emma","8"
"First Name","Contains","Ja","4"
"First Name","Starts with","mi","3"
"First Name","Ends with","On","3"
"First Name","Is exist","","50"
"Age","Equal to","35","6"
"Age","Greater than","70","5"
"Age","Less than","12","3"
"Age","Greater than or equal to","75","5"
"Age","Less than or equal to","12","3"
"Age","Is exist","","50"
"Date of Birth","Equal to","2004-03-03","2"
"Date of Birth","Less than","1995-10-27","5"
"Date of Birth","Greater than","2006-06-06","6"
"Date of Birth","Greater than or equal to","2002-07-07","21"
"Date of Birth","Less than or equal to","1999-08-28","17"
"Date of Birth","Is exist","","50"
"Email","Equal to","SamuelCharlotte@gmail.com","1"
"Email","Contains","Hen","2"
"Email","Starts with","Emm","7"
"Email","Ends with","com","47"
"Email","Is exist",,"50"
