"$propertymanagement.firstCTA","$propertymanagement.ctaYesNo","$propertymanagement.talkQuestioOthes","$propertymanagement.responseLastQuestion"
"New tenant application","Yes","Talk with a rental agent","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"New tenant application","Yes","Questions about the application process","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"New tenant application","Yes","Other","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"View listings","Yes","Talk with a rental agent","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"View listings","Yes","Questions about the application process","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"View listings","Yes","Other","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Pay rent","Yes","Talk with a rental agent","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Pay rent","Yes","Questions about the application process","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Pay rent","Yes","Other","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Maintenance request","Yes","Talk with a rental agent","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Maintenance request","Yes","Questions about the application process","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Maintenance request","Yes","Other","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Upload documents","Yes","Talk with a rental agent","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Upload documents","Yes","Questions about the application process","Here's the phone number {insert appropriate phone number} to speak with our rental department."
"Upload documents","Yes","Other","Here's the phone number {insert appropriate phone number} to speak with our rental department."
