"$hubspotcampaignalltype.hubCampaignType","$hubspotcampaignalltype.hubCampaignType1","$hubspotcampaignalltype.hubChannelType","$hubspotcampaignalltype.hubSenderID","$hubspotcampaignalltype.hubSelectSource","$hubspotcampaignalltype.hubCrmName","$hubspotcampaignalltype.hubModuleName","$hubspotcampaignalltype.hubListName","$hubspotcampaignalltype.hubListPhoneField","$hubspotcampaignalltype.hubTemplateName","$hubspotcampaignalltype.hubMergeField","$hubspotrecurringcampaign.hubspotCampaignDate","$hubspotrecurringcampaign.hubspotCampaignTime","$hubspotrecurringcampaign.hubspotRecurringFreqency","$hubspotrecurringcampaign.hubspotCampaignEndDate","$hubspotrecurringcampaign.hubspotCampaignDay","$hubspotslowpace.hubspotSpBatch","$hubspotslowpace.hubspotSpDelay","$hubspotslowpace.hubspotSpTime","$hubspotslowpace.hubspotSpDate","$hubspotslowpace.hubspotSpScheduleTime"
"Broadcast","","SMS/MMS","12513091565","","","","Contact List 1","phone","Contact Template 12","","20 Jun 2024","23:00","","","","","","","",""
"Recurring Campaign","","SMS/MMS","17866526589","","","","Contact List 1","Phone Number","Contact Template 12","","20 Jun 2024","23:00","Daily","19 Jul 2025","1st","50","30","Minutes","6 Jun 2024","23:00"
"Recurring Campaign","","SMS/MMS","16592742952","","","","Contact List 1","Phone Number","Contact Template 1","","20 Jun 2024","23:00","Daily","19 Jul 2025","3rd","100","30","Minutes","6 Jun 2024","23:00"
"Slow Pace Campaign","","SMS/MMS","17866526589","","","","Contacts List","Phone Number","Contact Template 12","","","","","","","50","15","Minutes","6 Jun 2024","23:00"
"Slow Pace Campaign","","SMS/MMS","1313131313","","","","Contacts 4899","Phone Number","Contacts Temp Merge Fields 1","","","","","","","1000","15","Minutes","6 Jun 2024","23:00"
"Slow Pace Campaign","","SMS/MMS","18334296192","","","","Company list","Phone Number","Company Template","","","","","","","100","30","Minutes","6 Jun 2024","23:00"
"Recurring Campaign","","SMS/MMS","18334296192","","","","Contact List 1","Phone Number","Contacts Temp Merge Fields 1","","6 Jun 2024","23:00","Monthly","19 Jul 2025","1st","100","30","Minutes","6 Jun 2024","23:00"
"Slow Pace Campaign","","SMS/MMS","1313131313","","","","Company list","Phone Number","Sample Camp Check","","","","","","","50","15","Minutes","16 Jun 2024","23:00"
"Broadcast","","SMS/MMS","16022231767","","","","Company list","Phone Number","Sample Camp Check","","","","","","","","","","",""
"Broadcast","","SMS/MMS","1313131313","","","","","","Sole Proprietor Temp","","","","","","","","","","",""
"Slow Pace Campaign","","SMS/MMS","61480090609","","","","Contacts List","Phone Number","Contacts Template","","","","","","","50","15","Minutes","6 Jun 2024","23:00"
"Recurring Campaign","","SMS/MMS","61480090609","","","","Contact List 1","Phone Number","Contacts Template","","17 Jun 2024","23:00","Daily","19 Jul 2025","1st","50","30","Minutes","6 Jun 2024","23:00"
"Recurring Campaign","","SMS/MMS","61480090609","","","","Contact List 1","Phone Number","Contacts Template","","19 Jun 2024","23:00","Monthly","19 Jul 2025","3rd","100","30","Minutes","6 Jun 2024","23:00"
"","","","","","","","","","","","","","","","","","","","",""
"QA","","","","","","","","","","","","","","","","","","","",""
"Zoho CRM","","","","","","","","","","","","","","","","","","","",""
"Broadcast","","SMS/MMS","1313131313","","Zoho","Contacts","All Contacts","Phone","Zoho Template Contacts 2","","20 July 2024","23:00","","","","","","","",""
"Recurring Campaign","","SMS/MMS","1313131313","","Zoho","Contacts","All Contacts","Phone","Zoho Template Contacts 1","","20 Jun 2024","23:00","Daily","19 Jul 2025","3rd","100","30","Minutes","6 Jun 2024","23:00"
"Recurring Campaign","Recurring","SMS/MMS","1313131313","","Zoho","Leads","All Open Leads","Phone","Zoho Template 2","","20 Sep 2024","23:00","Daily","19 Jul 2025","1st","100","30","Minutes","6 Jun 2024","23:00"
"Slow Pace Campaign","Slow Pace","SMS/MMS","1313131313","","Zoho","Leads","All Open Leads","Phone","Zoho Template 2","","","","","","","50","30","Minutes","6 Jun 2024","23:00"
"Broadcast","","WhatsApp","14155238886","","Zoho","Contacts","All Contacts","Phone","Whatsapp MTM Zoho 1234r","","20 July 2024","23:00","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Zoho Bigin","","","","","","","","","","","","","","","","","","","",""
"Broadcast","Broadcast","SMS/MMS","1313131313","","Zoho Bigin","Contacts","All Contacts","Phone","Zoho Bigin Temp 1","","23 July 2024","23:00","","","","","","","",""
"Recurring Campaign","Recurring","SMS/MMS","1313131313","","Zoho Bigin","Contacts","All Contacts","Phone","Zoho Bigin Contacts Temp 1","","23 July 2024","23:00","Daily","19 Jul 2025","3rd","100","30","Minutes","6 Jun 2024","23:00"
"Recurring Campaign","Recurring","SMS/MMS","1313131313","","Zoho Bigin","Contacts","All Contacts","Phone","Zoho Bigin Contacts Temp 1","","23 July 2024","23:00","Monthly","19 Jul 2025","1st","100","30","Minutes","6 Jun 2024","23:00"
"Slow Pace Campaign","Slow Pace","SMS/MMS","1313131313","","Zoho Bigin","Contacts","All Contacts","Phone","Zoho Bigin Temp 1","","23 July 2024","","","","","50","30","Minutes","26 Jul 2024","23:00"
"Broadcast","Broadcast","WhatsApp","14155238886","","Zoho Bigin","Contacts","All Contacts","Phone","Appointment Reminders","","23 July 2024","23:00","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"RCS"
